,ask_price,ask_price_grad,ask_volat,bid_price,bid_price_grad,bid_volat,imbalance,spread,LOF
0,13440.0,4.0,1.3428043563059713e-07,13439.71942344,3.8311039999998684,1.3509151076511946e-07,-0.40910592818574415,0.0020876450053707203,-1.0190598404774847
1,13448.0,4.0,4.671656035868632e-07,13447.17504,4.091772615000082,4.3452280232256164e-07,-0.4285714285714286,0.006134631946235655,-1.2004982389988865
2,13448.0,0.0,4.5813116165594466e-07,13447.90296867,0.3639643349997641,4.1528890759116067e-07,0.7126436781609196,0.0007215324215990735,-2.0742098440850225
3,13448.0,1.5,4.5813116165594466e-07,13447.90296867,1.1690778900001533,4.1528890759116067e-07,-0.9141204392609272,0.0007215324215990735,-4.7726688117301395
4,13451.0,1.5,5.078854174393686e-07,13450.24112445,1.1690778900001533,4.4551362488890987e-07,0.7142857142857143,0.0056419370875075165,-115.65877819150509
5,13451.0,1.5,5.078209551702479e-07,13450.24112445,1.7536168349997752,4.4551362488890987e-07,-0.524126010981798,0.0056419370875075165,-2.9257378671577827
6,13454.0,1.5,5.034196713325047e-07,13453.74835812,1.8191737750003085,4.91325632110237e-07,-0.9638347448720289,0.0018704045886812047,-2.3831869684819345
7,13454.0,-1.0,5.034196713325047e-07,13453.879472,-1.1690778900001533,4.858808288480734e-07,-0.4285714285714286,0.0008958565473350451,-3.3514119382313923
8,13452.0,-1.0,4.756854280491524e-07,13451.41020234,-0.9577760000001945,4.429614478392162e-07,-0.5162717531633182,0.004384556868924678,-4.1793827000238295
9,13452.0,1.5,4.756854280491524e-07,13451.96392,1.7536168350006847,4.4465587630651114e-07,-0.031344106433584804,0.00026821326483444246,-19.08814537209003
10,13455.0,1.5,5.254101023200191e-07,13454.91743601,1.4767580050001925,4.928519795511851e-07,-0.9882248306678701,0.000613632428979412,-2.6579893734434434
11,13455.0,0.0,5.254101023200191e-07,13454.91743601,0.0,4.926156865180144e-07,-0.9882248306678701,0.000613632428979412,-3.8210012631098706
12,13455.0,0.0,5.254101023200191e-07,13454.91743601,0.0,4.923793934848437e-07,-0.9720303445979998,0.000613632428979412,-1.3595382852856022
13,13455.0,2.5,1.7131249513620927e-07,13454.91743601,2.354345994999676,1.8480805882957086e-07,-0.9720303445979998,0.000613632428979412,-2.1421143257509536
14,13460.0,2.5,3.0935449476040143e-07,13459.626128,2.354345994999676,3.0430752152827715e-07,-0.4285714285714286,0.0027776908804186006,-2.1073541239660547
15,13460.0,0.0,3.0935449476040143e-07,13459.626128,0.0,3.0430752152827715e-07,-0.4285714285714286,0.0027776908804186006,-2.3882115663729295
16,13460.0,1.0,2.596002389769776e-07,13459.626128,1.1528876749998744,2.74082804230528e-07,-0.4285714285714286,0.0027776908804186006,-1.9595419343106866
17,13462.0,2.0,2.8167547442953037e-07,13461.93190335,1.915552000000389,3.0342506666739733e-07,-0.9094714003836031,0.0005058447647603631,-2.427225585452877
18,13464.0,1.0,2.540120844066154e-07,13463.457232,0.5340483250001853,2.4828598023566705e-07,-0.6666666666666667,0.004031334970272113,-1.422489592463639
19,13464.0,-1.0340483250001853,2.540120844066154e-07,13463.0,-1.7286160000003292,2.4934439216167623e-07,-0.4285714285714286,0.007427489137297137,-2.363493549358105
20,13461.93190335,-1.0340483250001853,2.5550776996207346e-07,13460.0,-1.0,2.6531837831624535e-07,-0.743943532711127,0.014351892404565775,-756.6662197139996
21,13461.93190335,0.03404832500018529,2.5550776996207346e-07,13461.0,0.9659516749998147,2.691431687047361e-07,-0.9976092024086727,0.006922747889011846,-1.160010291896681
22,13462.0,0.03404832500018529,2.0580868358381746e-07,13461.93190335,0.4659516749998147,2.257395092973149e-07,-0.9517057553762929,0.0005058447647603631,-1.7741203397075782
23,13462.0,2.5,2.0580868358381746e-07,13461.93190335,2.3381557800003065,2.257395092973149e-07,-0.9517057553762929,0.0005058447647603631,-2.2344592430037773
24,13467.0,2.5,3.4370718841156125e-07,13466.60821491,2.3381557800003065,3.46365601235333e-07,-0.3333333333333333,0.002909265530808989,-1.4616514461021963
25,13467.0,1.0,3.4370718841156125e-07,13466.60821491,1.1690778900001533,3.46365601235333e-07,-0.3038908152743758,0.002909265530808989,-2.2824888298489734
26,13469.0,0.0,2.2771748297306814e-07,13468.94637069,0.0,2.5407679194096743e-07,-0.6549382094827249,0.0003981692535983562,-1.484027703986302
27,13467.0,-1.0,2.4976977715876715e-07,13466.60821491,-1.1690778900001533,2.842176099936721e-07,0.8271208352295548,0.002909265530808989,-27.683263002403113
28,13467.0,0.0,2.4976977715876715e-07,13466.60821491,0.0,2.842176099936721e-07,0.8271208352295548,0.002909265530808989,-1.669729506612671
29,13467.0,-4.5,2.2769454170621436e-07,13466.60821491,-4.4488194550003755,2.5487534755680274e-07,0.8271208352295548,0.002909265530808989,-1.6041081933856738
30,13458.0,-6.0,6.525498043945434e-07,13457.710576,-5.885483455000212,6.788760843293225e-07,-0.5998103180945703,0.002150595275449126,-2.106620638518891
31,13455.0,-1.5,7.022523098410013e-07,13454.837248,-1.436663999999837,7.233180712855104e-07,-0.5998454042734869,0.001209609694033199,-11.792713123484322
32,13455.0,0.0,6.786551263796213e-07,13454.837248,-0.41862399999990885,6.736524809490396e-07,-0.8353502922532311,0.001209609694033199,-3.77670537589024
33,13455.0,0.0,6.786551263796213e-07,13454.0,-0.41862399999990885,6.720056456314356e-07,0.15397930530445825,0.007432457542086291,-1.7237983250611921
34,13455.0,-0.041281994999735616,6.786295384870106e-07,13454.0,0.0,6.672132017941826e-07,0.5,0.007432457542086291,-1.8856289394215782
